spots_genename,spots_coords_1,spots_coords_2,spots_score,idx
Cryab,14657,23054,0.9658119546566,141
Plp1,14661,23056,0.975821095677742,141
Cplx2,14851,23060,0.960588045140551,3135
Cryab,14605,23062,0.98174124960747,153
Nrsn1,14657,23063,0.967288274425452,3135
Aldoc,14752,23068,0.98616781435629,3135
Plp1,14598,23072,0.9628593427107,153
Enpp2,14609,23073,0.98671053229868,153
Plp1,14633,23073,0.95560669333906,3135
Slc24a2,14599,23074,0.955095896694131,153
Slc24a2,14600,23075,0.920480352911858,153
Plp1,14606,23076,0.973226853601291,153
Plp1,14602,23078,0.978502720037682,153
Gap43,14748,23078,0.9891111845516,3135
Cryab,14595,23081,0.968724188732675,153
Sulf2,14609,23082,0.981428397216183,153
Aldoc,14806,23083,0.980979189797679,3135
Aldoc,14760,23088,0.983129764421677,3135
Cryab,14626,23091,0.974989152893419,153
Nrsn1,14885,23091,0.969992404107981,3135
Cplx2,14603,23092,0.958456782516779,153
Cplx2,14944,23092,0.935670558553835,3135
Cryab,14610,23094,0.966682993451693,153
Cplx2,14932,23094,0.95699573212239,3135
Plp1,14666,23098,0.962278406827982,3135
Cplx2,14694,23100,0.940862845360685,3135
Cck,14614,23101,0.982281392782545,3135
Cplx2,14611,23103,0.937501129175414,3135
Trp53i11,14878,23104,0.966611596813454,3135
3110035E14Rik,14627,23105,0.939224843023814,3135
Fxyd6,14914,23105,0.956943395439914,3135
Atp1b1,14910,23108,0.973371295567587,3135
Gad1,14918,23113,0.939907381916388,176
Cadps2,14921,23114,0.990735213546849,3135
Pde1a,14961,23114,0.976931796127072,3135
Synpr,14915,23115,0.940874679799358,176
Kctd12,14917,23116,0.97578046494321,3135
Arpp21,14970,23118,0.981534049946737,3135
Gad1,14902,23119,0.9848504531837,176
Gad1,14909,23119,0.965405234695178,176
Gad1,14905,23122,0.905463472656106,176
Sema3c,14918,23124,0.908246765699609,176
3110035E14Rik,14911,23125,0.960061597965192,3135
Cplx2,14594,23127,0.950949425784648,3135
Id2,14599,23127,0.980895999734767,3135
Trp53i11,14911,23129,0.903780401643606,176
Cadps2,14922,23129,0.976901216672012,176
Tmsb10,14845,23130,0.980563608635315,3135
Gad1,14720,23131,0.986420644943847,178
Zcchc12,14898,23132,0.929753837898732,176
Satb1,14645,23135,0.976964768916029,3135
Cplx2,14937,23135,0.947491151490379,176
3110035E14Rik,14930,23139,0.996119887341697,3135
Cplx2,14918,23140,0.934558357506914,176
3110035E14Rik,14732,23142,0.993966203131932,178
Plp1,14905,23143,0.989327161501173,176
Cplx2,14680,23144,0.957366897522779,3135
Plp1,14715,23144,0.935438774381119,178
Cryab,14737,23144,0.986144999056788,178
Id2,14822,23144,0.978547261737076,3135
Id2,14599,23146,0.991334879261426,186
Cplx2,14813,23151,0.923832375875527,3135
Rorb,14605,23157,0.97428429778526,186
Hapln1,14625,23158,0.975497380046735,3135
Nrsn1,14519,23160,0.982021663145666,3135
Satb1,14967,23160,0.987306855450812,3135
Tmsb10,14978,23165,0.972282205119231,3135
Cplx2,14983,23167,0.914256765714501,3135
Plp1,14522,23169,0.978519676739424,205
Aldoc,14541,23170,0.989080592926489,210
Cplx2,14744,23170,0.949189400693615,3135
Atp1b1,14608,23171,0.972585109786306,200
Plp1,14514,23172,0.98628902044061,205
Aldoc,14941,23172,0.943189005961713,3135
Plp1,14521,23177,0.967570135039191,205
Satb1,14911,23179,0.99350816769137,3135
Plp1,14540,23180,0.982770063155369,210
Cryab,14484,23184,0.9593397713576,213
Rgs10,14880,23184,0.98234288338718,3135
Id2,14543,23185,0.981198568423654,210
Cplx2,14981,23186,0.947883818433476,3135
Aldoc,14544,23190,0.967353227984386,210
Plp1,14487,23191,0.989085206652507,213
Rgs4,14775,23191,0.983694162861492,3135
Rgs12,14605,23193,0.924428125812183,200
Aldoc,14492,23194,0.995965411894413,213
Cxcl14,14534,23195,0.967415469491981,210
Kctd12,14931,23195,0.967890834509592,3135
Cryab,14610,23197,0.957663947640608,200
Gap43,14734,23199,0.987023009360248,3135
Cplx2,14740,23200,0.948781252218039,3135
Id2,14533,23202,0.995548891967217,210
Id2,14576,23203,0.990028257671679,3135
Pcp4,14545,23204,0.973780123065412,210
Enpp2,14483,23207,0.965983679924231,3135
Cryab,14487,23208,0.987592870258395,213
Trp53i11,14637,23209,0.994475891450707,3135
Cplx2,14537,23212,0.93658644239368,210
Cadps2,14627,23212,0.983705640379129,3135
Nrsn1,14455,23216,0.977116372581828,3135
Aldoc,14954,23216,0.980461462953911,228
Nrsn1,14948,23220,0.936992744351846,3135
Wfs1,14941,23221,0.955575108376796,3135
Plp1,14613,23225,0.968086518721887,221
Serpini1,14751,23225,0.907671568034045,225
Grin3a,14600,23226,0.990159994255924,3135
Id2,14611,23229,0.989171641525122,221
Cryab,14630,23230,0.931444016990918,221
3110035E14Rik,14751,23232,0.987245434694394,225
Plp1,14524,23233,0.958868209434985,229
Plp1,14640,23233,0.974942513272558,221
Cryab,14520,23234,0.9789608425353,229
Plp1,14619,23235,0.977341248274,221
Enpp2,14624,23235,0.988895670867773,221
Plp1,14644,23236,0.927574550352865,221
Id2,14767,23236,0.974055783501269,225
Cryab,14517,23238,0.970598303326848,229
Cplx2,14751,23238,0.926827042230251,225
Pcp4,14754,23239,0.960150588691533,225
Plp1,14631,23240,0.981051861027258,221
Plp1,14618,23241,0.953266078609492,221
Id2,14953,23241,0.968352886283002,228
Plp1,14530,23242,0.966089855557015,229
Aldoc,14843,23242,0.978244485590999,3135
Plp1,14525,23243,0.969460182173159,229
Plp1,14639,23245,0.968210582108956,221
Plp1,14629,23246,0.97380881900539,221
Nrsn1,14569,23247,0.994046669208797,3135
Plp1,14634,23247,0.973229759950348,221
Plp1,14532,23249,0.986756147765985,229
Cryab,14655,23249,0.945259953413323,3135
Cplx2,14719,23251,0.94407996886178,3135
Sncg,14833,23253,0.943915317695108,3135
Aldoc,14597,23254,0.978703441314845,3135
Plp1,14641,23254,0.977083126735431,221
Plp1,14642,23254,0.972265270128799,221
Cpne5,14851,23254,0.983613559702878,244
Plp1,14630,23255,0.952494766822921,221
Plp1,14636,23255,0.950227878479236,221
Tmsb10,14835,23255,0.92141069162748,3135
Cryab,14633,23257,0.964409857087897,221
Nrsn1,14540,23258,0.96610966945271,3135
Plp1,14639,23259,0.97526743639114,221
Gap43,14571,23260,0.965815287355868,3135
Plp1,14606,23260,0.976610268001881,221
Slc6a1,14873,23260,0.976368814412101,244
Wfs1,14901,23260,0.949902928065036,3135
Cplx2,14848,23263,0.934580102809184,244
Cck,14852,23263,0.971927765858007,244
Cryab,14636,23265,0.967759214191116,3135
Gad1,14858,23265,0.940912538404158,244
Atp1b1,14868,23266,0.979724097411028,244
Cplx2,14892,23269,0.949165014289198,3135
Plp1,14532,23270,0.973277072719056,3135
Cadps2,14863,23270,0.929136798672725,244
Prkca,14841,23273,0.94624663235935,244
Cplx2,14868,23273,0.933764800438025,244
Cplx2,14796,23274,0.939575155800273,3135
Cnr1,14872,23276,0.964337055460145,244
Gad1,14821,23279,0.981641943285926,3135
Col25a1,14853,23279,0.914531714284909,244
Cryab,14528,23281,0.942208956767082,3135
Gad1,14835,23282,0.966216759823215,244
Cplx2,14845,23283,0.924878637219206,244
Cplx2,14834,23286,0.924595683101251,244
Cplx2,14841,23287,0.927076431188674,244
Cadps2,14867,23287,0.960009684499097,244
Cck,14836,23288,0.975672681802679,244
Sema3c,14849,23288,0.958497225311685,244
6330403K07Rik,14411,23289,0.91618917463082,255
Cck,14871,23290,0.978339808511193,244
Cryab,14439,23291,0.971216350081417,255
Gad1,14863,23294,0.975342367931131,244
Gap43,14509,23295,0.98454112293937,256
Cplx2,14874,23296,0.925606284377913,244
Gad1,14848,23298,0.905470974758777,244
Cplx2,14865,23298,0.911145314472317,244
Cryab,14502,23300,0.974941683686063,256
Trp53i11,14859,23300,0.966468913677186,244
Cplx2,14876,23302,0.942287643195886,244
Cryab,14612,23305,0.936580390201459,3135
Cryab,14912,23305,0.952083830502325,3135
Cryab,14493,23311,0.967754928763143,256
Plp1,14417,23312,0.979982393922494,255
Cplx2,14817,23316,0.945215551434875,3135
Plp1,14499,23318,0.950837950066897,256
Plp1,14488,23319,0.976354165428616,3135
Snca,14635,23319,0.98415349643985,3135
Tac1,14587,23322,0.948209963280591,3135
3110035E14Rik,14594,23324,0.978971549988166,3135
Fxyd6,14904,23324,0.951991670037258,3135
6330403K07Rik,14744,23326,0.969004437256712,3135
Cplx2,14845,23326,0.951112504419262,3135
6330403K07Rik,14746,23327,0.975154211145571,3135
Plp1,14594,23329,0.981607387989119,3135
Enpp2,14579,23331,0.98436259741046,3135
Cplx2,14449,23332,0.940314661779732,3135
Id2,14876,23333,0.9837386845825,3135
Pvalb,14836,23334,0.956813431397253,3135
Plp1,14759,23335,0.979045861099582,3135
Tmsb10,14455,23340,0.978795575748518,3135
Tmsb10,14420,23341,0.959334759234006,3135
Tmsb10,14446,23345,0.960911168037948,3135
Cplx2,14548,23347,0.967300893109677,3135
